ord_id,ped_id,opc_id,ord_cantidad
ord_1,ped_1,opc_013,2
ord_10,ped_6,opc_012,1
ord_11,ped_7,opc_001,1
ord_12,ped_7,opc_001,1
ord_13,ped_8,opc_011,1
ord_14,ped_9,opc_006,1
ord_15,ped_9,opc_006,1
ord_16,ped_10,opc_013,1
ord_17,ped_10,opc_027,1
ord_18,ped_11,opc_001,1
ord_19,ped_11,opc_010,1
ord_2,ped_2,opc_001,1
ord_20,ped_12,opc_012,2
ord_21,ped_13,opc_001,1
ord_22,ped_13,opc_001,1
ord_23,ped_13,opc_001,1
ord_24,ped_14,opc_010,1
ord_25,ped_15,opc_012,1
ord_26,ped_16,opc_001,1
ord_27,ped_17,opc_001,1
ord_28,ped_17,opc_001,1
ord_29,ped_18,opc_007,1
ord_3,ped_2,opc_001,1
ord_30,ped_19,opc_027,1
ord_31,ped_20,opc_001,1
ord_32,ped_21,opc_010,1
ord_33,ped_22,opc_010,1
ord_34,ped_23,opc_012,1
ord_35,ped_24,opc_022,1
ord_36,ped_25,opc_010,1
ord_37,ped_25,opc_012,1
ord_38,ped_25,opc_012,1
ord_39,ped_25,opc_002,1
ord_4,ped_3,opc_012,1
ord_40,ped_25,opc_002,1
ord_41,ped_26,opc_002,1
ord_42,ped_26,opc_001,1
ord_43,ped_26,opc_007,2
ord_44,ped_27,opc_010,1
ord_45,ped_27,opc_028,1
ord_46,ped_27,opc_029,1
ord_47,ped_27,opc_004,1
ord_48,ped_27,opc_006,1
ord_49,ped_27,opc_006,1
ord_5,ped_3,opc_001,1
ord_50,ped_27,opc_008,1
ord_51,ped_28,opc_010,1
ord_52,ped_29,opc_002,1
ord_53,ped_29,opc_002,1
ord_54,ped_30,opc_002,2
ord_55,ped_31,opc_002,1
ord_56,ped_32,opc_015,2
ord_57,ped_33,opc_027,1
ord_58,ped_33,opc_020,1
ord_59,ped_34,opc_008,1
ord_6,ped_4,opc_014,1
ord_7,ped_4,opc_016,1
ord_8,ped_5,opc_011,2
ord_9,ped_6,opc_010,1
